Date,Open,High,Low,Close,Volume,Weekly_Return,Volatility_4W,Search,Interest_MA4,is_fashion_week,Search_Lag_1
2020-12-13,37.29,43.87,36.64,43.36,11730911,0.1744,0.0822,57.0,58.25,False,61.0
2020-12-20,42.99,44.19,41.43,41.52,10888536,-0.0424,0.0899,65.0,59.75,False,57.0
2020-12-27,41.34,42.99,39.59,42.99,1769026,0.0354,0.09,67.0,62.5,False,65.0
2021-01-03,43.04,47.41,42.21,47.14,2369810,0.0965,0.092,55.0,61.0,False,67.0
2021-01-10,46.95,47.41,41.89,43.18,17570037,-0.084,0.0804,63.0,62.5,False,55.0
2021-01-17,42.17,46.54,42.17,43.27,5784569,0.0021,0.0753,79.0,66.0,False,63.0
2021-01-24,42.81,46.59,40.42,44.47,5676340,0.0277,0.0746,66.0,65.75,False,79.0
2021-01-31,44.33,46.49,43.22,44.01,8673950,-0.0103,0.0479,59.0,66.75,False,66.0
2021-02-07,43.32,44.97,41.57,43.82,5134476,-0.0043,0.0167,67.0,67.75,False,59.0
2021-02-14,45.07,47.41,44.33,45.07,11374966,0.0285,0.0206,76.0,67.0,False,67.0
2021-02-21,45.2,47.0,43.59,46.26,8437362,0.0264,0.0202,63.0,66.25,False,76.0
2021-02-28,46.26,46.26,41.29,42.49,7051245,-0.0815,0.0514,56.0,65.5,True,63.0
2021-03-07,42.3,44.65,41.06,42.35,6077002,-0.0033,0.0514,57.0,63.0,True,56.0
2021-03-14,42.3,48.52,40.14,48.15,8093380,0.137,0.0905,53.0,57.25,False,57.0
2021-03-21,49.72,50.18,45.85,46.03,5669450,-0.044,0.0955,52.0,54.5,False,53.0
2021-03-28,46.03,46.36,42.58,44.38,3912300,-0.0358,0.0842,51.0,53.25,False,52.0
2021-04-04,45.16,46.91,42.86,45.48,1979735,0.0248,0.0835,51.0,51.75,False,51.0
2021-04-11,46.22,46.26,44.15,45.11,1748546,-0.0081,0.0311,54.0,52.0,False,51.0
2021-04-18,45.85,48.1,42.99,46.31,7069636,0.0266,0.0298,63.0,54.75,False,54.0
2021-04-25,47.28,47.28,42.58,45.02,3398241,-0.0279,0.0265,61.0,57.25,False,63.0
2021-05-02,45.57,46.17,44.19,44.51,2061100,-0.0113,0.0229,57.0,58.75,False,61.0
2021-05-09,44.61,46.03,43.41,45.48,3636054,0.0218,0.0263,56.0,59.25,False,57.0
2021-05-16,45.99,46.77,43.78,45.53,4415759,0.0011,0.0209,52.0,56.5,False,56.0
2021-05-23,46.68,47.83,45.43,47.51,4624002,0.0435,0.0241,59.0,56.0,False,52.0
2021-05-30,47.51,49.99,45.43,48.89,3305378,0.029,0.0176,58.0,56.25,False,59.0
2021-06-06,50.18,51.46,46.64,47.29,3972646,-0.0327,0.0336,53.0,55.5,False,58.0
2021-06-13,47.57,52.25,46.87,51.83,8351759,0.096,0.0529,55.0,56.25,False,53.0
2021-06-20,51.88,52.11,50.12,51.88,2532536,0.001,0.0546,60.0,56.5,False,55.0
2021-06-27,51.97,55.58,50.49,53.54,3596983,0.032,0.0547,58.0,56.5,False,60.0
2021-07-04,53.54,56.0,51.97,52.53,3842926,-0.0189,0.0502,59.0,58.0,False,58.0
2021-07-11,52.11,54.33,47.99,49.84,3498485,-0.0512,0.0349,57.0,58.5,False,59.0
2021-07-18,49.84,51.69,47.48,48.77,2464591,-0.0215,0.0345,58.0,58.0,False,57.0
2021-07-25,50.3,50.58,47.06,48.17,2214916,-0.0123,0.0173,56.0,57.5,False,58.0
2021-08-01,50.58,60.49,47.71,56.23,7019550,0.1673,0.0992,57.0,57.0,False,56.0
2021-08-08,54.56,57.48,54.38,54.75,3525662,-0.0263,0.0938,56.0,56.75,False,57.0
2021-08-15,54.75,54.93,49.47,51.0,3037831,-0.0685,0.1043,58.0,56.75,False,56.0
2021-08-22,50.9,53.78,39.0,40.58,12243372,-0.2043,0.1536,58.0,57.25,False,58.0
2021-08-29,43.54,46.04,40.85,41.59,15212099,0.0249,0.0982,60.0,58.0,False,58.0
