Date,Open,High,Low,Close,Volume,Weekly_Return,Volatility_4W,Search,Interest_MA4,is_fashion_week,Search_Lag_1
2021-04-25,2044.27,2089.18,1996.83,2075.23,4432057,0.0019,0.0257,57.0,57.25,False,58.0
2021-05-02,2074.23,2103.19,2047.27,2058.25,6992436,-0.0082,0.0303,59.0,57.25,False,57.0
2021-05-09,2065.24,2208.05,2051.66,2188.08,3787878,0.0631,0.0316,57.0,57.75,False,59.0
2021-05-16,2183.09,2208.05,1884.48,2102.19,9485055,-0.0393,0.0429,61.0,58.5,False,57.0
2021-05-23,2111.18,2132.15,2064.25,2102.19,4770522,0.0,0.0429,57.0,58.5,False,61.0
2021-05-30,2100.2,2152.13,2086.22,2133.15,5954540,0.0147,0.0423,59.0,58.5,False,57.0
2021-06-06,2149.13,2212.05,2104.19,2174.1,3678105,0.0192,0.0266,55.0,58.0,False,59.0
2021-06-13,2177.09,2251.99,2170.1,2206.06,4206545,0.0147,0.0084,56.0,56.75,False,55.0
2021-06-20,2222.03,2263.98,2172.1,2177.09,4398605,-0.0131,0.0148,54.0,56.0,False,56.0
2021-06-27,2162.11,2263.98,2149.13,2247.0,3249546,0.0321,0.019,55.0,55.0,False,54.0
2021-07-04,2097.2,2150.13,2021.3,2046.69,7581326,-0.0891,0.0535,55.0,55.0,False,55.0
2021-07-11,2044.69,2084.65,1963.78,2060.67,4733097,0.0068,0.0522,57.0,55.25,False,55.0
2021-07-18,2071.66,2089.64,1946.3,1963.78,7225892,-0.047,0.0544,55.0,55.5,False,57.0
2021-07-25,1928.82,2110.62,1917.34,2102.63,5780696,0.0707,0.0691,56.0,55.75,False,55.0
2021-08-01,2086.64,2126.6,2061.67,2061.67,4303469,-0.0195,0.0503,55.0,55.75,False,56.0
2021-08-08,2086.64,2196.52,2077.65,2164.56,4229811,0.0499,0.0558,57.0,55.75,False,55.0
2021-08-15,2163.56,2176.54,2115.61,2127.6,3417960,-0.0171,0.0462,59.0,56.75,False,57.0
2021-08-22,2106.62,2106.62,1801.97,1822.94,7706668,-0.1432,0.0805,60.0,57.75,False,59.0
2021-08-29,1847.91,1900.85,1805.46,1848.91,4703924,0.0142,0.084,60.0,59.0,False,60.0
2021-09-05,1859.4,1929.82,1826.94,1889.87,5212665,0.0222,0.0767,61.0,60.0,False,60.0
2021-09-12,1895.36,1974.77,1879.2,1921.83,6248937,0.0169,0.0806,62.0,60.75,False,61.0
2021-09-19,1931.82,1931.82,1722.06,1795.47,7151796,-0.0657,0.0419,64.0,61.75,True,62.0
2021-09-26,1744.03,1856.4,1733.54,1821.94,3858005,0.0147,0.0419,65.0,63.0,True,64.0
2021-10-03,1844.92,1863.4,1773.0,1857.9,4846300,0.0197,0.0415,64.0,63.75,False,65.0
2021-10-10,1854.91,1897.36,1825.94,1832.43,5044859,-0.0137,0.0392,68.0,65.25,False,64.0
2021-10-17,1822.94,1919.83,1787.98,1870.39,4752723,0.0207,0.0162,69.0,66.5,False,68.0
2021-10-24,1862.4,1906.85,1820.77,1893.86,5312846,0.0125,0.0161,68.0,67.25,False,69.0
2021-10-31,1894.86,1928.82,1865.39,1926.83,4439164,0.0174,0.0157,69.0,68.5,False,68.0
