Date,Open,High,Low,Close,Volume,Weekly_Return,Volatility_4W,Search,Interest_MA4,is_fashion_week,Search_Lag_1
2021-06-27,1165.56,1189.7,1152.04,1184.87,236149,0.0115,0.0107,69.0,67.75,False,69.0
2021-07-04,1181.97,1196.46,1171.35,1176.18,215354,-0.0073,0.0168,65.0,67.0,False,69.0
2021-07-11,1176.18,1199.36,1150.11,1193.08,232957,0.0144,0.0102,64.0,66.75,False,65.0
2021-07-18,1193.08,1240.88,1189.7,1207.08,184217,0.0117,0.01,68.0,66.5,False,64.0
2021-07-25,1198.39,1245.22,1179.08,1243.78,200295,0.0304,0.0155,62.0,64.75,False,68.0
2021-08-01,1237.5,1266.47,1220.6,1244.74,211540,0.0008,0.0122,63.0,64.25,False,62.0
2021-08-08,1245.71,1301.72,1242.81,1294.47,186788,0.04,0.0177,62.0,63.75,False,63.0
2021-08-15,1295.92,1307.99,1281.44,1301.23,160413,0.0052,0.0191,62.0,62.25,False,62.0
2021-08-22,1293.03,1294.47,1161.21,1190.66,361114,-0.085,0.0531,63.0,62.5,False,62.0
2021-08-29,1206.12,1239.91,1177.63,1198.39,239678,0.0065,0.0536,65.0,63.0,False,63.0
2021-09-05,1197.42,1235.57,1188.25,1211.91,201839,0.0113,0.0464,64.0,63.5,False,65.0
2021-09-12,1217.7,1272.75,1217.7,1257.3,165111,0.0375,0.0535,66.0,64.5,False,64.0
2021-09-19,1255.85,1262.12,1198.87,1233.64,312835,-0.0188,0.0231,63.0,64.5,False,66.0
2021-09-26,1207.08,1279.99,1188.25,1243.78,251317,0.0082,0.023,65.0,64.5,False,63.0
2021-10-03,1253.43,1258.26,1126.45,1154.45,336296,-0.0718,0.0465,66.0,65.0,True,65.0
2021-10-10,1149.14,1193.56,1130.79,1170.87,264236,0.0142,0.0392,68.0,65.5,True,66.0
2021-10-17,1169.9,1254.4,1161.69,1245.22,253443,0.0635,0.056,69.0,67.0,False,68.0
2021-10-24,1237.02,1319.1,1206.6,1311.37,273670,0.0531,0.0615,71.0,68.5,False,69.0
2021-10-31,1316.2,1323.44,1282.89,1323.44,241343,0.0092,0.0273,69.0,69.25,False,71.0
2021-11-07,1337.45,1423.87,1327.79,1408.91,245932,0.0646,0.0261,71.0,70.0,False,69.0
2021-11-14,1409.87,1428.7,1354.83,1427.74,235243,0.0134,0.0279,70.0,70.25,False,71.0
2021-11-21,1426.77,1617.97,1426.77,1617.97,471519,0.1332,0.0578,73.0,70.75,False,70.0
2021-11-28,1603.49,1611.21,1526.72,1548.93,419029,-0.0427,0.0749,86.0,75.0,False,73.0
2021-12-05,1560.51,1620.39,1538.79,1551.34,497809,0.0016,0.0752,88.0,79.25,False,86.0
2021-12-12,1556.17,1579.83,1504.02,1537.82,386697,-0.0087,0.0773,88.0,83.75,False,88.0
2021-12-19,1539.75,1608.31,1472.64,1472.64,1172650,-0.0424,0.0229,79.0,85.25,False,88.0
2021-12-26,1444.15,1523.34,1411.8,1477.95,323245,0.0036,0.0213,71.0,81.5,False,79.0
2022-01-02,1464.91,1504.02,1464.91,1483.26,172515,0.0036,0.0217,80.0,79.5,False,71.0
2022-01-09,1498.71,1528.16,1392.49,1397.32,381972,-0.0579,0.0317,75.0,76.25,False,80.0
2022-01-16,1396.35,1396.35,1249.57,1253.92,517087,-0.1026,0.0517,66.0,73.0,False,75.0
2022-01-23,1255.85,1339.38,1243.78,1317.17,429444,0.0504,0.0673,65.0,71.5,False,66.0
2022-01-30,1295.44,1315.24,1215.29,1251.02,485364,-0.0502,0.0646,71.0,69.25,False,65.0
